10:40:25.657875 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 130
10:40:25.668061 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 131
10:40:25.678198 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 132
10:40:25.688354 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 133
10:40:25.698508 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 134
10:40:25.708664 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 135
10:40:25.718818 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 136
10:40:25.728972 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 137
10:40:25.739144 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 138
10:40:25.749305 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 139
10:40:25.759443 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 140
10:40:25.769598 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 141
10:40:25.779755 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 142
10:40:25.789911 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 143
10:40:25.800068 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 144
10:40:25.810225 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 145
10:40:25.820379 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 146
10:40:25.830536 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 147
10:40:25.840688 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 148
10:40:25.850845 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 149
10:40:25.861001 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 150
10:40:25.871165 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 151
10:40:25.881310 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 152
10:40:25.891472 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 153
10:40:25.901639 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 154
10:40:25.911800 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 155
10:40:25.921944 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 156
10:40:25.932100 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 157
10:40:25.942255 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 158
10:40:25.952413 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 159
10:40:25.962549 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 160
10:40:25.972706 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 161
10:40:25.982862 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 162
10:40:25.993027 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 163
10:40:26.003171 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 164
10:40:26.013327 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 165
10:40:26.023485 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 166
10:40:26.033642 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 167
10:40:26.043799 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 168
10:40:26.053951 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 169
10:40:26.064105 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 170
10:40:26.074273 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 171
10:40:26.084428 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 172
10:40:26.094572 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 173
10:40:26.104757 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 174
10:40:26.114912 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 175
10:40:26.125067 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 176
10:40:26.135202 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 177
10:40:26.145360 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 178
10:40:26.155514 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 179
10:40:26.165667 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 180
10:40:26.175821 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 181
10:40:26.185976 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 182
10:40:26.196129 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 183
10:40:26.206283 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 184
10:40:26.216441 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 185
10:40:26.226595 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 186
10:40:26.236747 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 187
10:40:26.246900 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 188
10:40:26.257058 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 189
10:40:26.267213 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 190
