15:17:44.460903 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 89
15:17:44.471044 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 90
15:17:44.471060 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 90
15:17:44.481200 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 91
15:17:44.481219 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 91
15:17:44.491358 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 92
15:17:44.491378 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 92
15:17:44.501516 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 93
15:17:44.501532 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 93
15:17:44.511674 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 94
15:17:44.511688 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 94
15:17:44.521831 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 95
15:17:44.521846 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 95
15:17:44.531990 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 96
15:17:44.532005 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 96
15:17:44.542150 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 97
15:17:44.542167 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 97
15:17:44.552306 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 98
15:17:44.552324 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 98
15:17:44.562463 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 99
15:17:44.562479 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 99
15:17:44.572618 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 100
15:17:44.572636 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 100
15:17:44.582776 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 101
15:17:44.582792 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 101
15:17:44.592936 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 102
15:17:44.592952 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 102
15:17:44.603092 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 103
15:17:44.603109 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 103
15:17:44.613264 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 104
15:17:44.613283 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 104
15:17:44.623424 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 105
15:17:44.623442 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 105
15:17:44.633584 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 106
15:17:44.633601 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 106
15:17:44.643744 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 107
15:17:44.643760 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 107
15:17:44.653901 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 108
15:17:44.653918 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 108
15:17:44.664063 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 109
15:17:44.664078 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 109
15:17:44.674224 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 110
15:17:44.674239 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 110
15:17:44.684380 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 111
15:17:44.684399 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 111
15:17:44.694539 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 112
15:17:44.694557 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 112
15:17:44.704679 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 113
15:17:44.704697 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 113
15:17:44.714835 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 114
15:17:44.714852 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 114
15:17:44.724992 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 115
15:17:44.725009 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 115
15:17:44.735148 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 116
15:17:44.735167 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 116
15:17:44.745307 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 117
15:17:44.745324 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 117
15:17:44.755464 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 118
15:17:44.755481 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 118
15:17:44.765620 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 119
15:17:44.765638 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 119
15:17:44.775778 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 120
15:17:44.775795 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 120
15:17:44.785934 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 121
15:17:44.785953 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 121
15:17:44.796094 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 122
15:17:44.796109 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 122
15:17:44.806249 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 123
15:17:44.806264 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 123
15:17:44.816410 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 124
15:17:44.816428 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 124
15:17:44.826568 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 125
15:17:44.826586 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 125
15:17:44.836724 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 126
15:17:44.836742 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 126
15:17:44.846882 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 127
15:17:44.846900 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 127
15:17:44.857038 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 128
15:17:44.857056 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 128
15:17:44.867197 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 129
15:17:44.867214 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 129
15:17:44.877366 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 130
15:17:44.877385 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 130
