18:10:31.171452 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 75
18:10:31.181607 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 76
18:10:31.181629 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 76
18:10:31.191786 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 77
18:10:31.191806 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 77
18:10:31.201954 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 78
18:10:31.201975 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 78
18:10:31.212122 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 79
18:10:31.212142 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 79
18:10:31.222289 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 80
18:10:31.222310 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 80
18:10:31.232457 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 81
18:10:31.232478 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 81
18:10:31.242625 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 82
18:10:31.242646 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 82
18:10:31.252800 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 83
18:10:31.252820 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 83
18:10:31.262967 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 84
18:10:31.262988 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 84
18:10:31.273135 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 85
18:10:31.273155 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 85
18:10:31.283308 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 86
18:10:31.283328 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 86
18:10:31.293473 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 87
18:10:31.293494 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 87
