13:14:12.496638 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 81
13:14:12.496652 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 81
13:14:12.506789 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 82
13:14:12.506803 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 82
13:14:12.516941 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 83
13:14:12.516954 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 83
13:14:12.527090 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 84
13:14:12.527104 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 84
13:14:12.537243 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 85
13:14:12.537256 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 85
13:14:12.547392 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 86
13:14:12.547406 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 86
13:14:12.557544 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 87
13:14:12.557557 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 87
13:14:12.567699 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 88
13:14:12.567717 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 88
13:14:12.577857 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 89
13:14:12.577871 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 89
13:14:12.588008 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 90
13:14:12.588022 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 90
13:14:12.598157 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 91
13:14:12.598171 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 91
13:14:12.608309 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 92
13:14:12.608323 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 92
13:14:12.618464 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 93
13:14:12.618478 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 93
13:14:12.628615 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 94
13:14:12.628628 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 94
13:14:12.638763 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 95
13:14:12.638777 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 95
13:14:12.648914 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 96
13:14:12.648927 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 96
13:14:12.659063 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 97
13:14:12.659078 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 97
13:14:12.669218 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 98
13:14:12.669231 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 98
13:14:12.679353 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 99
13:14:12.679364 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 99
13:14:12.689500 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 100
13:14:12.689517 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 100
13:14:12.699653 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 101
13:14:12.699667 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 101
13:14:12.709810 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 102
13:14:12.709823 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 102
13:14:12.719965 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 103
13:14:12.719978 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 103
13:14:12.730118 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 104
13:14:12.730131 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 104
13:14:12.740273 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 105
13:14:12.740291 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 105
13:14:12.750429 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 106
13:14:12.750444 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 106
13:14:12.760583 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 107
13:14:12.760597 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 107
13:14:12.770735 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 108
13:14:12.770748 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 108
13:14:12.780886 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 109
13:14:12.780899 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 109
13:14:12.791019 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 110
13:14:12.791031 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 110
13:14:12.801166 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 111
13:14:12.801180 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 111
13:14:12.811318 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 112
13:14:12.811332 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 112
13:14:12.821466 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 113
13:14:12.821479 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 113
13:14:12.831617 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 114
13:14:12.831630 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 114
13:14:12.841767 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 115
13:14:12.841780 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 115
13:14:12.851917 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 116
13:14:12.851931 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 116
13:14:12.862067 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 117
13:14:12.862081 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 117
13:14:12.872218 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 118
13:14:12.872234 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 118
13:14:12.882371 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 119
13:14:12.882385 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 119
13:14:12.892520 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 120
13:14:12.892534 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 120
