13:31:25.521716 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 102
13:31:25.531854 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 103
13:31:25.531868 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 103
13:31:25.542005 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 104
13:31:25.542018 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 104
13:31:25.552155 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 105
13:31:25.552170 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 105
13:31:25.562307 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 106
13:31:25.562319 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 106
13:31:25.572457 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 107
13:31:25.572472 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 107
13:31:25.582609 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 108
13:31:25.582623 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 108
13:31:25.592761 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 109
13:31:25.592775 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 109
13:31:25.602912 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 110
13:31:25.602926 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 110
13:31:25.613071 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 111
13:31:25.613083 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 111
13:31:25.623222 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 112
13:31:25.623239 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 112
13:31:25.633375 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 113
13:31:25.633387 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 113
13:31:25.643524 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 114
13:31:25.643538 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 114
13:31:25.653676 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 115
13:31:25.653693 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 115
13:31:25.663827 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 116
13:31:25.663841 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 116
13:31:25.673976 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 117
13:31:25.673992 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 117
13:31:25.684130 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 118
13:31:25.684144 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 118
13:31:25.694283 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 119
13:31:25.694299 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 119
13:31:25.704434 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 120
13:31:25.704446 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 120
13:31:25.714584 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 121
13:31:25.714604 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 121
13:31:25.724741 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 122
13:31:25.724757 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 122
13:31:25.734893 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 123
13:31:25.734905 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 123
13:31:25.745045 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 124
13:31:25.745059 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 124
13:31:25.755199 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 125
13:31:25.755214 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 125
13:31:25.765349 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 126
13:31:25.765361 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 126
13:31:25.775507 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 127
13:31:25.775522 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 127
13:31:25.785670 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 128
13:31:25.785686 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 128
13:31:25.795831 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 129
13:31:25.795846 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 129
13:31:25.805985 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 130
13:31:25.806002 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 130
13:31:25.816082 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 131
