17:27:44.299500 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 75
17:27:44.309640 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 76
17:27:44.309656 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 76
17:27:44.319793 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 77
17:27:44.319809 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 77
17:27:44.329930 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 78
17:27:44.329943 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 78
17:27:44.340063 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 79
17:27:44.340077 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 79
17:27:44.350213 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 80
17:27:44.350226 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 80
17:27:44.360362 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 81
17:27:44.360376 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 81
17:27:44.370517 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 82
17:27:44.370528 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 82
17:27:44.380665 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 83
17:27:44.380680 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 83
17:27:44.390817 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 84
17:27:44.390831 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 84
17:27:44.400964 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 85
17:27:44.400978 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 85
17:27:44.411114 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 86
17:27:44.411127 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 86
17:27:44.421263 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 87
17:27:44.421276 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 87
17:27:44.431412 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 88
17:27:44.431427 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 88
17:27:44.441564 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 89
17:27:44.441578 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 89
17:27:44.451715 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 90
17:27:44.451729 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 90
17:27:44.461868 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 91
17:27:44.461883 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 91
17:27:44.472021 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 92
17:27:44.472035 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 92
17:27:44.482173 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 93
17:27:44.482186 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 93
17:27:44.492329 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 94
17:27:44.492340 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 94
17:27:44.502475 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 95
17:27:44.502490 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 95
17:27:44.512627 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 96
17:27:44.512641 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 96
17:27:44.522783 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 97
17:27:44.522796 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 97
17:27:44.532939 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 98
17:27:44.532955 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 98
17:27:44.543092 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 99
17:27:44.543106 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 99
17:27:44.553248 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 100
17:27:44.553261 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 100
17:27:44.563382 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 101
17:27:44.563394 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 101
17:27:44.573538 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 102
17:27:44.573551 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 102
17:27:44.583687 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 103
17:27:44.583700 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 103
17:27:44.593839 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 104
17:27:44.593858 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 104
17:27:44.603992 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 105
17:27:44.604005 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 105
17:27:44.614141 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 106
17:27:44.614156 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 106
17:27:44.624292 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 107
17:27:44.624308 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 107
17:27:44.634428 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 108
17:27:44.634442 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 108
17:27:44.644578 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 109
17:27:44.644593 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 109
17:27:44.654713 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 110
17:27:44.654727 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 110
17:27:44.664868 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 111
17:27:44.664882 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 111
17:27:44.675018 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 112
17:27:44.675033 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 112
17:27:44.685170 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 113
17:27:44.685184 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 113
17:27:44.695324 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 114
17:27:44.695338 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 114
17:27:44.705473 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 115
17:27:44.705487 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 115
17:27:44.715622 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 116
17:27:44.715640 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 116
17:27:44.725774 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 117
17:27:44.725787 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 117
17:27:44.735923 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 118
17:27:44.735937 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 118
17:27:44.746078 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 119
17:27:44.746091 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 119
17:27:44.756229 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 120
17:27:44.756242 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 120
17:27:44.766385 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 121
17:27:44.766398 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 121
17:27:44.776540 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 122
17:27:44.776555 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 122
17:27:44.786698 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 123
17:27:44.786712 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 123
17:27:44.796859 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 124
17:27:44.796872 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 124
17:27:44.807007 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 125
17:27:44.807020 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 125
