15:11:51.670753 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 94
15:11:51.670771 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 94
15:11:51.680910 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 95
15:11:51.680928 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 95
15:11:51.691068 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 96
15:11:51.691085 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 96
15:11:51.701224 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 97
15:11:51.701241 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 97
15:11:51.711379 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 98
15:11:51.711395 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 98
15:11:51.721534 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 99
15:11:51.721550 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 99
15:11:51.731690 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 100
15:11:51.731706 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 100
15:11:51.741853 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 101
15:11:51.741865 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 101
15:11:51.752002 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 102
15:11:51.752019 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 102
15:11:51.762160 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 103
15:11:51.762179 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 103
15:11:51.772318 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 104
15:11:51.772333 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 104
15:11:51.782480 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 105
15:11:51.782495 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 105
15:11:51.792644 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 106
15:11:51.792658 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 106
15:11:51.802801 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 107
15:11:51.802816 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 107
15:11:51.812984 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 108
15:11:51.813003 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 108
15:11:51.823145 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 109
15:11:51.823163 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 109
15:11:51.833303 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 110
15:11:51.833322 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 110
15:11:51.843462 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 111
15:11:51.843478 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 111
15:11:51.853618 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 112
15:11:51.853635 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 112
15:11:51.863775 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 113
15:11:51.863792 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 113
15:11:51.873931 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 114
15:11:51.873948 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 114
15:11:51.884070 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 115
15:11:51.884088 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 115
15:11:51.894228 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 116
15:11:51.894245 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 116
15:11:51.904390 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 117
15:11:51.904411 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 117
15:11:51.914549 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 118
15:11:51.914565 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 118
15:11:51.924713 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 119
15:11:51.924728 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 119
15:11:51.934873 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 120
15:11:51.934890 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 120
15:11:51.945030 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 121
15:11:51.945046 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 121
15:11:51.955186 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 122
15:11:51.955202 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 122
15:11:51.965342 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 123
15:11:51.965358 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 123
15:11:51.975497 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 124
15:11:51.975514 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 124
15:11:51.985653 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 125
15:11:51.985670 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 125
15:11:51.995792 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 126
15:11:51.995810 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 126
15:11:52.005952 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 127
15:11:52.005970 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 127
15:11:52.016110 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 128
15:11:52.016127 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 128
15:11:52.026280 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 129
15:11:52.026299 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 129
15:11:52.036429 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 130
15:11:52.036445 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 130
15:11:52.046590 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 131
15:11:52.046605 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 131
15:11:52.056750 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 132
15:11:52.056765 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 132
15:11:52.066907 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 133
15:11:52.066923 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 133
15:11:52.077056 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 134
15:11:52.077081 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 134
15:11:52.087207 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 135
15:11:52.087222 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 135
15:11:52.097365 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 136
15:11:52.097381 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 136
15:11:52.107530 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 137
15:11:52.107545 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 137
15:11:52.117687 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 138
15:11:52.117703 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 138
15:11:52.127851 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 139
