18:12:33.931592 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 106
18:12:33.931608 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 106
18:12:33.941745 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 107
18:12:33.941764 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 107
18:12:33.951899 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 108
18:12:33.951916 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 108
18:12:33.962052 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 109
18:12:33.962064 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 109
18:12:33.972199 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 110
18:12:33.972212 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 110
18:12:33.982354 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 111
18:12:33.982367 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 111
18:12:33.992504 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 112
18:12:33.992517 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 112
18:12:34.002655 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 113
18:12:34.002668 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 113
18:12:34.012813 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 114
18:12:34.012824 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 114
18:12:34.022959 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 115
18:12:34.022972 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 115
18:12:34.033109 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 116
18:12:34.033122 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 116
18:12:34.043260 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 117
18:12:34.043273 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 117
18:12:34.053408 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 118
