18:08:15.609376 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 119
18:08:15.609396 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 119
18:08:15.619535 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 120
18:08:15.619554 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 120
18:08:15.629691 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 121
18:08:15.629707 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 121
18:08:15.639851 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 122
18:08:15.639866 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 122
18:08:15.650011 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 123
18:08:15.650027 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 123
18:08:15.660166 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 124
18:08:15.660182 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 124
18:08:15.670321 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 125
18:08:15.670339 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 125
18:08:15.680478 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 126
18:08:15.680494 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 126
18:08:15.690638 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 127
18:08:15.690654 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 127
18:08:15.700793 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 128
18:08:15.700809 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 128
18:08:15.710947 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 129
18:08:15.710963 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 129
18:08:15.721104 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 130
18:08:15.721120 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 130
18:08:15.731259 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 131
18:08:15.731275 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 131
18:08:15.741425 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 132
18:08:15.741444 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 132
18:08:15.751582 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 133
18:08:15.751597 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 133
18:08:15.761741 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 134
18:08:15.761755 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 134
18:08:15.771899 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 135
18:08:15.771915 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 135
18:08:15.782055 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 136
18:08:15.782070 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 136
18:08:15.792211 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 137
18:08:15.792226 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 137
18:08:15.802367 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 138
18:08:15.802382 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 138
18:08:15.812522 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 139
